modality,feature,baseline,current,fatigue_score,relative_change,normalized_effect,raw_sigmoid,weight,direction,expected_change,contribution,better_than_baseline
voice,dLPC,0.37474603247480937,0.3986333382046273,0.15802125030619218,0.06374264974772528,0.31871323280296476,0.5790106251530961,0.8,1,0.2,0.12641700024495375,False
voice,PARCOR,0.5517144600546122,0.5993798946257655,0.4069709625589013,0.08639511406404658,0.8639510542453605,0.7034854812794507,0.77,1,0.1,0.31336764117035404,False
voice,LPC,0.5676467583287299,0.5759439980501511,0.0608285806154365,0.014616906471343005,0.12180754377722974,0.5304142903077183,0.76,1,0.12,0.04622972126773174,False
voice,Pitch,154.31965105361414,146.85871898801372,-0.5985130199288747,-0.04834725852590768,-1.3816540089136602,0.20074349003556263,0.76,1,0.18,-0.4548698951459448,True
voice,MFCC,0.561842707244883,0.5094129182117824,-0.016382842000773,-0.09331755565009629,-0.03276861588306164,0.4918085789996135,0.75,1,0.2,-0.012287131500579751,True
eye,fixation_duration,0.28036600936790407,0.3451133077673217,0.6165463799237767,0.23093846588610448,1.4388286133543111,0.8082731899618883,1.0,1,0.5,0.6165463799237767,False
eye,fixation_count,144.1988448526657,163.51890801042458,1.0,0.13398209379665432,214.6673529009027,1.0,0.9,1,0.45,0.9,False
eye,saccade_count,191.52262896920035,211.24870605851024,1.0,0.10299606471803477,163.02542010730716,1.0,1.0,1,0.55,1.0,False
game,score,72.0,67.0,0.27818547966962925,-0.06944444443479939,-0.5714285483287992,0.6390927398348146,0.82,-1,0.25,0.228112093329096,False
