modality,feature,baseline,current,fatigue_score,relative_change,normalized_effect,raw_sigmoid,weight,direction,expected_change,contribution,better_than_baseline
voice,dLPC,0.37474603247480937,0.34386853297038417,-0.20312460888472128,-0.08239579876684303,-0.41197897323526644,0.39843769555763936,0.8,1,0.2,-0.16249968710777704,True
voice,PARCOR,0.5517144600546122,0.5316630502891261,-0.17974490773341845,-0.03634381705359535,-0.3634381341921401,0.4101275461332908,0.77,1,0.1,-0.1384035789547322,True
voice,LPC,0.5676467583287299,0.5657370669819142,-0.0140166841982583,-0.0033642248196678053,-0.028035204494298006,0.49299165790087085,0.76,1,0.12,-0.010652679990676308,True
voice,Pitch,154.31965105361414,150.08337932145176,-0.3732960397316635,-0.02745127858289473,-0.7844947213198813,0.31335198013416826,0.76,1,0.18,-0.28370499019606427,True
voice,MFCC,0.561842707244883,0.523750004968689,-0.011903406389374704,-0.06779958359697155,-0.023807937278717124,0.49404829680531265,0.75,1,0.2,-0.008927554792031028,True
eye,fixation_duration,0.28036600936790407,0.32234994250132404,0.43535737749192793,0.14974686742735213,0.9329761362531556,0.717678688745964,1.0,1,0.5,0.43535737749192793,False
eye,fixation_count,144.1988448526657,127.40716203567692,-1.0,-0.11644810908839874,-186.57424003435247,9.372103753428942e-82,0.9,1,0.45,-0.9,True
eye,saccade_count,191.52262896920035,237.73558363736845,1.0,0.24129239930800495,381.92522086719765,1.0,1.0,1,0.55,1.0,False
game,score,72.0,52.0,0.8153739270109175,-0.27777777773919754,-2.2857141933151968,0.9076869635054587,0.82,-1,0.25,0.6686066201489523,False
