Time,axis0_aileron,axis1_elevator,axis2_throttle_all,axis3_rudder,indicated-altitude-ft,indicated-speed-kt,indicated-speed-fpm,indicated-track-magnetic-deg,indicated-heading-deg,airspeed-kt,groundspeed-kt,altitude-agl-ft,altitude-ft,latitude-deg,longitude-deg,balloon-lat,balloon-lon,balloon-alt,balloon-level,balloon-hit,balloons-count,balloon-scoring-closest-ft
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.125,0,0,0,0,35.89814615,0,1381.430454,350.4941258,270.1242667,3.024384725,0.0001642709152,5.169930799,35.16060369,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.36667,0,0,0,0,27.20709217,2.603909838,325.9181634,350.4941258,271.2328932,2.922655779,0.0004048983531,5.169932565,35.16060988,19.72137998,-155.0578101,,,,,,,
1.44167,0,0,0,0,21.21182273,3.882070378,-669.3037593,350.4941258,274.9163772,2.85474296,9.372433444e-05,5.169939316,35.16061801,19.72137998,-155.0578101,,,,,,,
1.44167,0,0,0,0,21.21182273,3.882070378,-669.3037593,350.4941258,274.9163772,2.85474296,9.372433444e-05,5.169939316,35.16061801,19.72137998,-155.0578101,,,,,,,
1.44167,0,0,0,0,21.21182273,3.882070378,-669.3037593,350.4941258,274.9163772,2.85474296,9.372433444e-05,5.169939316,35.16061801,19.72137998,-155.0578101,,,,,,,
1.44167,0,0,0,0,21.21182273,3.882070378,-669.3037593,350.4941258,274.9163772,2.85474296,9.372433444e-05,5.169939316,35.16061801,19.72137998,-155.0578101,,,,,,,
1.46667,0,0,0,0,19.88234072,5.600924117,-722.6107446,350.4941258,277.184882,2.834069325,3.105727287e-05,5.169942375,35.16061962,19.72137998,-155.0578101,,,,,,,
1.49167,0,0,0,0,19.44487612,5.839760059,-734.9491644,350.4941258,278.1137507,2.827221559,2.012538508e-05,5.169945119,35.16062007,19.72137998,-155.0578101,,,,,,,
1.51667,0,0,0,0,18.99548435,6.185872396,-751.7459826,350.4941258,279.140921,2.820395779,2.076488697e-05,5.169944692,35.1606205,19.72137998,-155.0578101,,,,,,,
1.55,0,0,0,0,18.52525514,6.487783176,-771.423583,350.4941258,280.2739949,2.813592193,2.908670455e-05,5.16994501,35.1606209,19.72137998,-155.0578101,,,,,,,
1.55,0,0,0,0,18.52525514,6.487783176,-771.423583,350.4941258,280.2739949,2.813592193,2.908670455e-05,5.16994501,35.1606209,19.72137998,-155.0578101,,,,,,,
1.575,0,0,0,0,17.84951178,6.829126601,-802.5914855,350.4941258,281.9630868,2.804555434,4.161879538e-05,5.169944622,35.16062143,19.72137998,-155.0578101,,,,,,,
1.6,0,0,0,0,17.31561084,6.937413099,-824.3455649,350.4941258,283.3741106,2.797803942,4.983226718e-05,5.169944135,35.16062185,19.72137998,-155.0578101,,,,,,,
1.625,0,0,0,0,16.75897357,7.053039694,-846.4447891,350.4941258,284.9178627,2.791075119,5.677777496e-05,5.169944384,35.16062222,19.72137998,-155.0578101,,,,,,,
1.625,0,0,0,0,16.75897357,7.053039694,-846.4447891,350.4941258,284.9178627,2.791075119,5.677777496e-05,5.169944384,35.16062222,19.72137998,-155.0578101,,,,,,,
1.65833,0,0,0,0,16.18074648,7.150377122,-868.4984184,350.4941258,286.6026202,2.784369021,6.216586764e-05,5.169944615,35.16062259,19.72137998,-155.0578101,,,,,,,
