balloon_level,hit,dist_ft,horizontal_ft,vertical_ft,dist_score,speed_kt,speed_score,vert_fpm,vert_score,score
1,True,73.28176949,73.28176949,0.0,100.0,513.8935586,91.81450194444444,-1575.713652,100.0,97.54435058333333
2,True,120.459179,120.459179,0.0,100.0,512.0765106,94.33817972222222,2703.475536,85.93048928,97.45728327346666
3,False,845.2707807,845.2707807,0.0,0.0,291.1842317,0.0,5923.465205,21.53069589999999,0.4306139179999998
4,True,59.15033357,59.15033357,0.0,100.0,284.2717151,0.0,-3314.212881,73.71574238000001,68.4229445428
5,True,26.14754353,26.14754353,0.0,100.0,286.5212568,0.0,3019.076369,79.61847262,68.7771083572
6,False,118.2904962,118.2904962,0.0,100.0,412.74984,0.0,-715.7722314,100.0,10.0
7,False,5858.846628,5858.846628,0.0,0.0,506.6902438,100.0,3060.150671,78.79698658000001,11.5759397316
8,False,774.6979765,774.6979765,0.0,0.0,606.1733753,0.0,-8215.089763,0.0,0.0
