balloon_level,hit,dist_ft,horizontal_ft,vertical_ft,dist_score,speed_kt,speed_score,vert_fpm,vert_score,score
1,False,1780.907609,1780.907609,0.0,0.0,334.8988864,0.0,3920.69796,61.5860408,1.231720816
2,False,4164.466806,4164.466806,0.0,0.0,364.7603025,0.0,4706.231052,45.87537896,0.9175075791999999
