balloon_level,hit,dist_ft,horizontal_ft,vertical_ft,dist_score,speed_kt,speed_score,vert_fpm,vert_score,score
1,True,95.30049654,95.30049654,0.0,100.0,472.2219448,72.53047888888892,-1286.63454,100.0,91.75914366666669
2,True,109.6802918,109.6802918,0.0,100.0,517.5537281,86.73093319444453,-4019.614501,59.60770998,93.59574255713336
3,False,514.3387213,514.3387213,0.0,19.035839711111116,480.3597371,83.83296819444446,8749.209231,0.0,9.906163996333335
4,False,1373.179014,1373.179014,0.0,0.0,492.0405384,100.0,-4149.814594,57.00370812,11.1400741624
5,False,2288.60149,2288.60149,0.0,0.0,508.6154346,99.14522972222221,-4720.798763,45.584024740000004,10.82620346702222
6,True,44.51653454,44.51653454,0.0,100.0,480.9419088,84.64154000000002,-5148.19551,37.03608980000001,91.614627388
7,False,467.5526323,467.5526323,0.0,29.432748377777774,403.9885475,0.0,-3208.049074,75.83901852,3.871400240622222
8,False,7445.009234,7445.009234,0.0,0.0,483.3113105,87.93237569444443,-1591.708142,100.0,10.793237569444443
