timestamp_ms,timestamp_raw,Left_X,Left_Y,Right_X,Right_Y,Left_Pupil_Diameter,Right_Pupil_Diameter,Validity
808.4820003509521,4989327084067,,,,,nan,nan,invalid
816.8149995803833,4989327092400,,,,,nan,nan,invalid
825.1479997634888,4989327100733,,,,,nan,nan,invalid
833.4829998016357,4989327109068,,,,,nan,nan,invalid
841.8159999847412,4989327117401,,,,,nan,nan,invalid
850.1499996185303,4989327125735,,,,,nan,nan,invalid
858.4829998016357,4989327134068,,,,,nan,nan,invalid
866.8159999847412,4989327142401,,,,,nan,nan,invalid
875.1529998779297,4989327150738,,,,,nan,nan,invalid
883.4869995117188,4989327159072,,,,,nan,nan,invalid
891.8199996948242,4989327167405,,,,,nan,nan,invalid
900.1540002822876,4989327175739,,,,,nan,nan,invalid
908.4879999160767,4989327184073,,,,,nan,nan,invalid
916.8210000991821,4989327192406,,,,,nan,nan,invalid
925.1549997329712,4989327200740,0.6746847629547119,-0.041705820709466934,,,3.5880279541015625,nan,left_valid
933.4879999160767,4989327209073,,,,,nan,nan,invalid
941.8210000991821,4989327217406,,,,,nan,nan,invalid
950.1540002822876,4989327225739,,,,,nan,nan,invalid
958.4890003204346,4989327234074,,,,,nan,nan,invalid
966.8219995498657,4989327242407,0.633833646774292,-0.23557522892951965,,,3.2635345458984375,nan,left_valid
975.1579999923706,4989327250743,0.7015040516853333,-0.6222962737083435,,,3.4892120361328125,nan,left_valid
983.4919996261597,4989327259077,0.7177848815917969,-0.9902046322822571,,,3.72607421875,nan,left_valid
991.8249998092651,4989327267410,0.709809422492981,-1.1279329061508179,,,3.846923828125,nan,left_valid
1000.1590003967285,4989327275744,0.6932807564735413,-1.1221805810928345,0.8813879489898682,-1.0750021934509277,3.8214263916015625,3.6483001708984375,both_valid
1008.496000289917,4989327284081,0.698505163192749,-1.0867940187454224,0.8306188583374023,-1.1599094867706299,3.78619384765625,3.7005157470703125,both_valid
1016.829999923706,4989327292415,0.69755619764328,-1.089210033416748,0.8502405881881714,-1.0945110321044922,3.79290771484375,3.72845458984375,both_valid
1025.1630001068115,4989327300748,0.7036663889884949,-1.113571286201477,0.8666929006576538,-1.0936367511749268,3.725189208984375,3.753173828125,both_valid
1033.4969997406006,4989327309082,0.7140923142433167,-1.0740925073623657,0.8713642358779907,-1.1228135824203491,3.821380615234375,3.77593994140625,both_valid
1041.831000328064,4989327317416,0.7135707139968872,-1.0702131986618042,0.869027853012085,-1.11710786819458,3.7973785400390625,3.7593841552734375,both_valid
1050.166000366211,4989327325751,0.7152074575424194,-1.0927015542984009,0.8640010952949524,-1.1246099472045898,3.8028106689453125,3.8072052001953125,both_valid
1058.5,4989327334085,0.7097653746604919,-1.0753928422927856,0.8844876289367676,-1.1370620727539062,3.8253173828125,3.7101898193359375,both_valid
1066.833999633789,4989327342419,0.7111976146697998,-1.0743805170059204,0.8725475072860718,-1.1550283432006836,3.8514251708984375,3.7391357421875,both_valid
1075.1669998168945,4989327350752,0.7138325572013855,-1.0812816619873047,0.8716844320297241,-1.138716220855713,3.842803955078125,3.7432098388671875,both_valid
1083.5019998550415,4989327359087,0.7182080149650574,-1.0818551778793335,0.8704063892364502,-1.1345601081848145,3.81536865234375,3.7458953857421875,both_valid
1091.8359994888306,4989327367421,0.7215923070907593,-1.0937830209732056,0.8699073195457458,-1.1216460466384888,3.7916259765625,3.752105712890625,both_valid
1100.170000076294,4989327375755,0.7108227610588074,-1.076812505722046,0.8722662329673767,-1.1346611976623535,3.8338165283203125,3.7540435791015625,both_valid
1108.5030002593994,4989327384088,0.7153891921043396,-1.0881699323654175,0.8765989542007446,-1.115999698638916,3.8331298828125,3.754241943359375,both_valid
